Depth,Biostratigraphy,Reliability,MUD_VOLUME,TVD,GR,Core_depofacies
73.1522,-9999,2,-9999,73.152,-9999,-9999
73.3046,-9999,2,-9999,73.3044,-9999,-9999
73.457,-9999,2,-9999,73.4568,-9999,-9999
73.6094,-9999,2,-9999,73.6092,-9999,-9999
73.7618,-9999,2,-9999,73.7616,-9999,-9999
73.9142,-9999,2,-9999,73.914,-9999,-9999
74.0666,-9999,2,-9999,74.0664,-9999,-9999
74.219,-9999,2,-9999,74.2188,-9999,-9999
74.3714,-9999,2,-9999,74.3712,-9999,-9999
74.5238,-9999,2,-9999,74.5236,-9999,-9999
74.6762,-9999,2,-9999,74.676,-9999,-9999
74.8286,-9999,2,-9999,74.8284,-9999,-9999
74.981,-9999,2,-9999,74.9808,-9999,-9999
75.1334,-9999,2,-9999,75.1332,-9999,-9999
75.2858,-9999,2,-9999,75.2856,-9999,-9999
75.4382,-9999,2,-9999,75.438,-9999,-9999
75.5906,-9999,2,-9999,75.5904,-9999,-9999
75.743,-9999,2,-9999,75.7428,-9999,-9999
